antal_sålda,gata,id
0,"Slutpriser bostäder - Centralplan, Stockholms kommun",475078
4,"Slutpriser bostäder - Gamla Brogatan, Stockholms kommun",475079
0,"Slutpriser bostäder - Vasagatan, Stockholms kommun",475080
0,"Slutpriser bostäder - Vasaplan, Stockholms kommun",475081
0,"Slutpriser bostäder - Östra Järnvägsgatan, Stockholms kommun",475082
0,"Slutpriser bostäder - Bryggargatan, Stockholms kommun",475083
89,"Slutpriser bostäder - Drottninggatan, Stockholms kommun",475084
0,"Slutpriser bostäder - Klara Vattugränd, Stockholms kommun",475085
3,"Slutpriser bostäder - Klara Västra Kyrkogata, Stockholms kommun",475086
0,"Slutpriser bostäder - Klarabergsgatan, Stockholms kommun",475087
0,"Slutpriser bostäder - Mäster Samuelsgatan, Stockholms kommun",475088
0,"Slutpriser bostäder - Karlbergsrampen, Stockholms kommun",475089
7,"Slutpriser bostäder - Klara Norra Kyrkogata, Stockholms kommun",475090
0,"Slutpriser bostäder - Klarastrandsleden, Stockholms kommun",475091
0,"Slutpriser bostäder - Korgmakargränd, Stockholms kommun",475092
0,"Slutpriser bostäder - Kungsbron, Stockholms kommun",475093
41,"Slutpriser bostäder - Kungsgatan, Stockholms kommun",475094
0,"Slutpriser bostäder - Målargatan, Stockholms kommun",475095
0,"Slutpriser bostäder - Norra Bantorget, Stockholms kommun",475096
47,"Slutpriser bostäder - Olof Palmes gata, Stockholms kommun",475097
0,"Slutpriser bostäder - Barnhusgatan, Stockholms kommun",475098
425,"Slutpriser bostäder - Dalagatan, Stockholms kommun",475099
0,"Slutpriser bostäder - Dalatrappan, Stockholms kommun",475100
7,"Slutpriser bostäder - Lilla Bantorget, Stockholms kommun",475101
476,"Slutpriser bostäder - Torsgatan, Stockholms kommun",475102
433,"Slutpriser bostäder - Upplandsgatan, Stockholms kommun",475103
160,"Slutpriser bostäder - Kammakargatan, Stockholms kommun",475104
472,"Slutpriser bostäder - Västmannagatan, Stockholms kommun",475105
47,"Slutpriser bostäder - Wallingatan, Stockholms kommun",475106
1,"Slutpriser bostäder - Bedoirsgränd, Stockholms kommun",475107
4,"Slutpriser bostäder - Didrik Ficks Gränd, Stockholms kommun",475108
0,"Slutpriser bostäder - Funckens Gränd, Stockholms kommun",475109
1,"Slutpriser bostäder - Gåsgränd, Stockholms kommun",475110
0,"Slutpriser bostäder - Gåstorget, Stockholms kommun",475111
0,"Slutpriser bostäder - Göran Hälsinges Gränd, Stockholms kommun",475112
3,"Slutpriser bostäder - Helga Lekamens Gränd, Stockholms kommun",475113
0,"Slutpriser bostäder - Ignatiigränd, Stockholms kommun",475114
1,"Slutpriser bostäder - Kornhamnstorg, Stockholms kommun",475115
